Pays,Region,Surface (km2),Population (88) en millier,PNB ($ mio),Exports ($ mio),Imports ($ mio)
Afghanistan,Naher Osten,647947,19082,2300,512,996
Aegypten,Naher Osten,1001560,52300,32771,4996,20637
Angola,Afrika,1246700,7474,3310,2261,665
Arabische Emiraten,Naher Osten,83600,1311,5530,15837,7226
Argentinien,Suedamerika,2776889,30500,5530,7656,5143
Aethiopien,Afrika,1221900,38024,5530,355,1066
Australien,Pazifischer Raum,7686848,15990,176300,32908,36072
Bahamas,Lateinamerika,13989,285,1183,733,1701
Bahrain,Naher Osten,622,570,4351,2344,2613
Bangladesh,Asien,143998,103575,17410,1291,2816
Barbados,Lateinamerika,431,255,1360,173,582
Belgien,Europa,30513,10000,154583,92103,92250
Bermuda,Lateinamerika,53,71,1130,23,402
Bolivien,Suedamerika,1098581,7400,1926,601,604
Botswana,Afrika,600372,1011,1180,1587,936
Brasilien,Suedamerika,8511965,147714,314630,34545,15616
Burkina Faso,Afrika,274200,7572,1420,310,434
Burma,Asien,676552,40189,7460,138,244
Burundi,Afrika,27834,4889,1210,128,204
Canada,Nordamerika,9976139,26200,344859,114784,111795
Chile,Suedamerika,756625,12800,27620,7046,4731
China,Asien,9561000,1085700,613403,47540,55278
Costa Rica,Lateinamerika,50700,2700,4589,1320,1409
Cuba,Lateinamerika,110922,10300,16081,6470,9196
DAenemark,Europa,43075,5185,76630,27877,26548
Deutschland,Europa,356784,76265,1000550,371453,296889
Djibouti,Afrika,22000,183,190,20,186
Dominikanische Republik,Lateinamerika,48734,6497,4920,890,1849
Ecuador,Suedamerika,283561,10811,10320,2192,1714
El Salvador,Lateinamerika,21041,5378,4210,1182,1988
Fiji,Asien,18274,740,1100,307,462
Finland,Europa,337032,4938,71090,21930,21136
Frankreich,Europa,551110,55800,998292,167569,178764
Gabun,Afrika,267667,607,2900,1271,785
Gambia,Afrika,11295,764,190,35,99
Ghana,Afrika,238537,13692,5320,977,988
Gibraltar,Europa,6,27,120,30,75
Granada,Lateinamerika,344,110,130,32,89
Griechenland,Europa,131944,10349,43570,6533,13168
Groenland,Nordamerika,2175600,54,480,329,482
Grossbritannien,Europa,244103,56605,592960,146168,189920
Guadeloupe,Lateinamerika,1779,314,1000,109,792
Guatemala,Lateinamerika,108889,6769,6830,1084,1557
Guinea,Afrika,245857,5968,1930,467,204
Guyana,Suedamerika,214969,890,300,242,242
Haiti,Lateinamerika,27750,5640,2210,166,442
Honduras,Lateinamerika,112088,4520,3620,1577,1796
Hong Kong,Asien,1045,5762,45920,63161,63894
Indien,Asien,3280483,797500,210941,13209,18992
Indonesien,Asien,2027087,178400,93791,17135,12891
Irak,Naher Osten,434924,15931,39600,9014,7415
Iran,Naher Osten,1648000,47600,72699,8322,9570
Irland,Europa,70283,3703,21770,18735,15561
Island,Europa,103000,249,4090,1424,1597
Israel,Naher Osten,20769,4600,32956,9605,14354
Italien,Europa,301225,59100,660267,128534,138587
Jamaica,Lateinamerika,10991,2373,2270,755,1449
Japan,Asien,372313,125665,1925600,264512,187235
Jordanien,Naher Osten,97740,3884,4380,930,2710
Jugoslawien,Europa,255504,23800,80959,12663,13171
Kamerun,Afrika,475442,9941,10430,806,1723
Kenya,Afrika,582646,22800,7304,1070,2040
Kolumbien,Suedamerika,1138914,30600,36669,5037,5002
Kongo,Afrika,342000,1910,1770,673,528
Korea (Sued),Asien,98484,43400,125562,60697,51811
Kuba,Lateinamerika,114524,10211,12320,6470,9196
Lesotho,Afrika,30355,1478,600,18,23
Libanon,Naher Osten,10400,2889,3300,591,1880
Liberia,Afrika,111369,2167,1020,382,308
Libyen,Afrika,1759540,4034,22320,5714,4877
Madagaskar,Afrika,587041,10492,2180,331,331
Malawi,Afrika,118484,7083,1210,292,402
Malaysia,Asien,322633,16800,31406,21110,16551
Malediven,Asien,298,182,70,25,64
